Time, setTemp,  TempRilevata, Switch 
2016/09/27 11:45:42, 26.0, 25.6, 12
2016/09/27 11:50:42, 22.0, 25.5, 10
2016/09/27 11:55:42, 22.0, 25.5, 10
2016/09/27 12:00:43, 26.0, 25.6, 12
2016/09/27 12:05:43, 26.0, 25.5, 12
2016/09/27 12:10:43, 26.0, 25.4, 12
2016/09/27 12:15:43, 26.0, 25.5, 12
2016/09/27 12:20:43, 27.0, 25.6, 12
2016/09/27 12:25:43, 27.0, 25.6, 12
2016/09/27 12:30:43, 27.0, 25.6, 12
2016/09/27 12:35:43, 22.0, 25.6, 10
2016/09/27 12:40:43, 21.0, 25.6, 10
2016/09/27 12:45:43, 21.0, 25.8, 10
2016/09/27 12:50:44, 26.0, 25.8, 12
2016/09/27 12:55:44, 26.0, 27.4, 10
2016/09/27 13:00:44, 26.0, 26.5, 10
2016/09/27 13:05:44, 26.0, 26.5, 10
2016/09/27 13:10:44, 26.0, 25.6, 12
2016/09/27 13:15:44, 26.0, 25.0, 12
2016/09/27 13:20:44, 21.0, 24.9, 10
2016/09/27 13:25:44, 21.0, 24.9, 10
2016/09/27 13:43:54, 21.0, 24.9, 10
2016/09/27 13:48:59, 21.0, 24.9, 10
2016/09/27 13:53:59, 21.0, 24.9, 10
2016/09/27 13:58:59, 21.0, 24.9, 10
2016/09/27 14:03:59, 21.0, 25.0, 10
2016/09/27 14:08:59, 21.0, 25.0, 10
2016/09/27 14:13:59, 21.0, 25.0, 10
2016/09/27 14:18:59, 21.0, 25.0, 10
2016/09/27 14:23:59, 21.0, 25.0, 10
2016/09/27 14:28:59, 21.0, 25.0, 10
2016/09/27 14:34:00, 21.0, 25.0, 10
2016/09/27 14:39:00, 21.0, 25.0, 10
2016/09/27 14:44:00, 21.0, 25.0, 10
2016/09/27 14:49:00, 21.0, 25.0, 10
2016/09/27 14:54:00, 21.0, 25.1, 10
2016/09/27 14:59:00, 21.0, 25.1, 10
2016/10/07 09:54:25, 24.0, 22.8, 12
2016/10/07 09:59:25, 24.0, 22.8, 12
2016/10/09 15:45:36, 20.0, 21.4, 10
2016/10/09 15:50:38, 22.0, 21.7, 12
2016/10/09 15:55:43, 22.0, 21.9, 12
2016/10/09 16:00:48, 21.0, 22.1, 10
2016/10/09 16:05:53, 22.5, 22.3, 12
2016/10/09 16:10:53, 22.5, 22.4, 12
2016/10/09 16:15:58, 22.5, 22.7, 10
2016/10/09 16:20:58, 22.5, 22.9, 10
2016/10/09 16:25:58, 22.5, 23.1, 10
2016/10/09 16:30:58, 22.5, 23.3, 10
2016/10/09 16:35:58, 22.5, 23.4, 10
2016/10/09 16:43:36, 15, 23.5, 10
2016/10/09 16:50:20, 15, 23.5, 10
2016/10/09 16:55:20, 15, 23.6, 10
2016/10/09 17:03:17, 15, 23.6, 10
2016/10/09 17:58:37, 15, 23.3, 10
2016/10/09 18:20:06, 20.5, 23.4, 10
2016/10/09 18:25:11, 20.5, 23.4, 10
2016/10/09 18:30:11, 20.5, 23.4, 10
